"student_id","id","title","level","date","module","genre family","discipline","disciplinary group","grade","words","s-units","p-units","tables","figures","block quotes","formulae","lists","listlikes","abstract","w/s","s/p","macrotype","gender","year of birth","L1","education (UKA: all secondary education in UK; Ukn: n years of secondary education in UK; OSA: all secondary education overseas)","course","number_of_texts","complex"
"0001","0001a","What is 'Racism' and how do you account for its persistence in modern societies?",1,01/02/2004,"State, Society and Work","essay","Sociology","SS","D",1549,48,12,0,0,0,0,0,0,0,32.3,4,"simple assignment","f",1985,"English","UKA","Sociology",1,0
"0001","0001b","Explore the limitations and uses of official statistics, using the internal and radical approaches, and conclude should sociologists use official statistics?",1,01/11/2003,"Sociological Imagination and Investigation","essay","Sociology","SS","M",1426,46,13,0,0,0,0,0,0,0,31,3.5,"simple assignment","f",1985,"English","UKA","Sociology",1,0
"0001","0001c","Discuss the implications for women, in gender and class terms, of the rise of medicine as a profession",1,01/01/2004,"Gender, Class and Empire","essay","Sociology","SS","M",1619,56,14,0,0,0,0,0,0,0,28.9,4,"simple assignment","f",1985,"English","UKA","Sociology",1,0
"0001","0001d","Why do women have children? Why do some not do so?",2,01/11/2004,"Transformations: Gender, Reproduction and Contemporary Society","essay","Sociology","SS","D",2225,67,18,0,0,0,0,0,0,0,33.2,3.7,"simple assignment","f",1985,"English","UKA","Sociology",1,0
"0001","0001e","What groups and individuals are most at risk from unemployment and what explains their vulnerability?",2,01/02/2005,"Social Welfare in Britain","essay","Sociology","SS","M",2308,69,19,0,0,0,0,0,0,0,33.4,3.6,"simple assignment","f",1985,"English","UKA","Sociology",1,0
"0002","0002a","Consider how Victorian notions of women's madness affected the lives of women in class specific ways",1,01/01/2005,"Gender, Class and Empire","essay","Sociology","SS","D",1990,51,9,0,0,0,0,0,0,0,39,5.7,"simple assignment","f",1986,"English","UKA","Sociology",1,0
"0002","0002b","Outline the social and political factors that led to the development of feminism in Japan",1,01/03/2005,"Births of Feminisms","essay","Sociology","SS","D",1741,44,8,0,0,0,0,0,0,0,39.6,5.5,"simple assignment","f",1986,"English","UKA","Sociology",1,0
"0003","0003a","A review of The Bell Curve: Intelligence and Class Structure in American Life",1,01/02/2005,"Sociological Imagination and Investigation","critique","Sociology","SS","M",1605,74,11,0,0,0,0,0,0,0,21.7,6.7,"simple assignment","m",1984,"Dutch","OSA","History/Sociology",1,0
"0003","0003b","An urban ethnography of two bookshops in Leamington Spa, November 2004",1,01/11/2004,"Sociological Imagination and Investigation","narrative recount","Sociology","SS","M",1447,67,10,0,0,0,0,0,0,0,21.6,6.7,"simple assignment","m",1984,"Dutch","OSA","History/Sociology",1,0
"0003","0003c","In what way and to what extent was consumption significant in establishing class and gender identity in the Victorian period?",1,01/11/2004,"Gender, Class and Empire","essay","Sociology","SS","M",1605,56,12,0,0,0,0,0,0,0,28.7,4.7,"simple assignment","m",1984,"Dutch","OSA","History/Sociology",1,0
"0003","0003d","Can Pi?sudski's coup d'etat be justified?",2,01/11/2005,"Eastern Europe Since 1918","essay","History","AH","M",2201,53,11,0,0,0,0,0,0,0,41.5,4.8,"simple assignment","m",1984,"Dutch","OSA","History",1,0
"0003","0003e","Was the communisation of Eastern Europe a foregone conclusion in May 1945?",2,01/01/2006,"Eastern Europe Since 1918","essay","History","AH","M",2200,46,15,0,0,0,0,0,0,0,47.8,3.1,"simple assignment","m",1984,"Dutch","OSA","History",1,0
"0003","0003f","In what way did the German humanists prepare the ground for the Reformation?",2,01/04/2006,"Germany in the Age of the Reformation","essay","History","AH","M",2011,42,10,0,0,0,0,0,0,0,47.9,4.2,"simple assignment","m",1984,"Dutch","OSA","History",1,0
"0003","0003g","How useful is it to separate the 'form' of social life from its 'content'?",2,01/12/2005,"Theoretical Ideas in Sociology","essay","Sociology","SS","M",2463,78,14,0,0,0,0,0,0,0,31.6,5.6,"simple assignment","m",1984,"Dutch","OSA","Sociology",1,0
"0003","0003h","According to Wieder what function does the convict code perform? What conclusions can we draw about the role of language in everyday life and in sociology?",2,01/02/2006,"Theoretical Ideas in Sociology","critique","Sociology","SS","M",2506,82,17,0,0,2,0,0,0,0,30.6,4.8,"simple assignment","m",1984,"Dutch","OSA","Sociology",1,0
"0003","0003i","Analyze and assess the relationship between revolution and democracy in the works and deeds of Karl Marx / Friedrich Engels, Vladimir I. Lenin and Joseph Stalin.",1,01/01/2005,"Making of the Modern World","essay","History","AH","M",1739,54,14,0,0,0,0,0,0,0,32.2,3.9,"simple assignment","m",1984,"Dutch","OSA","History",1,0
"0003","0003j","Is Rousseau's Social Contract more convincingly seen as a text of liberal, or of totalitarian democracy?",1,01/05/2005,"Making of the Modern World","essay","History","AH","M",1929,42,9,0,0,0,0,0,0,0,45.9,4.7,"simple assignment","m",1984,"Dutch","OSA","History",1,0
"0003","0003k","A Decade of Pluralism or Ideology?",1,01/05/2005,"Latin American Themes and Problems","essay","Comparative American Studies","AH","M",4897,122,31,0,4,10,0,0,0,0,40.1,3.9,"simple assignment","m",1984,"Dutch","OSA","Comparative American Studies",1,1
"0003","0003l","Why did workers rather than communist reformers spearhead the Polish Solidarity movement of 1980-81?",2,01/03/2006,"Eastern Europe Since 1918","essay","History","AH","M",2248,50,11,0,0,1,0,0,0,0,45,4.5,"simple assignment","m",1984,"Dutch","OSA","History",1,0
"0003","0003p","Why did the British suffragettes make the female body into a site of political conflict?",1,01/02/2005,"Gender, Class and Empire","essay","Sociology","SS","M",1544,59,11,0,0,0,0,0,0,0,26.2,5.4,"simple assignment","m",1984,"Dutch","OSA","Sociology",1,0
"0004","0004a","How is the Construction of Gender Identities Related to Imperialism and Racism? Discuss With Particular Reference to Ideas About 'White Manhood' in the Adventure Story of Late Nineteenth Century Britain",1,01/03/2003,"Gender, Class and Empire","essay","Sociology","SS","M",1545,46,8,0,0,0,0,0,0,0,33.6,5.8,"simple assignment","m",1984,"English","UKA","Sociology",1,0
"0004","0004b","'Having a View About the Nature of Social Reality is not an Option'. What is your Own View Now, Towards the End of the Course, and What Has Persuaded you to Adopt it?",1,01/04/2003,"Sociological Imagination and Investigation","essay","Sociology","SS","D",2043,68,9,0,0,0,0,0,0,0,30,7.6,"simple assignment","m",1984,"English","UKA","Sociology",1,0
"0004","0004c","Critically Evaluate the Assertion that Sporting Practices and their Associated Subcultures Bear no Relation Whatsoever to the Social Construction of Masculine Ideals",2,01/04/2004,"Social Construction of Masculinities","essay","Sociology","SS","M",3309,89,12,0,0,0,0,0,0,0,37.2,7.4,"simple assignment","m",1984,"English","UKA","Sociology",1,0
"0004","0004d","Sociology Under Siege? The Welcome Onslaught of Realist Social Theory",3,01/04/2005,"Dissertation","research report","Sociology","SS","M",10758,280,63,0,0,1,0,0,0,1,38.4,4.4,"simple assignment","m",1984,"English","UKA","Sociology",1,1
"0005","0005a","To what extent is class no longer an operative word in historical anaylsis?",4,01/04/2004,"Historical Research: Theory, Skill and Method I","essay","History","AH","M",2700,120,12,0,0,0,0,0,0,0,22.5,10,"simple assignment","m",1982,"English","UKA","History",1,0
"0005","0005b","What do estimate and production fugure data reveal about GB Air Strategy in the 1920s and 1930s?",4,01/03/2004,"Historical Research: Theory, Skill and Method II","exercise","History","AH","D",2907,112,27,0,13,0,0,0,0,0,26,4.1,"simple assignment","m",1982,"English","UKA","History",1,0
